
=== strategy=seu-us  seed=0  missing_rate=0.2 ===
 Round  #Remaining        Mean         Min         Max    #Pos
   339        3075    -0.04199    -2.37938     0.00000      58
   340        3074    -0.04824    -2.72501     0.00000      53
   341        3073    -0.05751    -2.65275     0.00000      59
   342        3072    -0.04804    -2.05053     0.00000      68
   343        3071    -0.05366    -2.65331     0.00000      63
   344        3070    -0.05026    -2.05954     0.00000      59
   345        3069    -0.04005    -2.37392     0.00000      60
   346        3068    -0.05781    -2.65283     0.00000      55
   347        3067    -0.02039    -0.97922     0.00000      63
   348        3066    -0.04042    -1.81174     0.00000      52
   349        3065    -0.04527    -2.65291     0.00000      63
   350        3064    -0.04665    -1.96523     0.00000      62
   351        3063    -0.04694    -2.37939     0.00000      65
   352        3062    -0.05167    -2.04707     0.00000      68
   353        3061    -0.04769    -2.33056     0.00000      61
   354        3060    -0.03768    -2.72503     0.00000      53
   355        3059    -0.04638    -2.37292     0.00000      74
   356        3058    -0.04356    -2.51652     0.00000      61
   357        3057    -0.04654    -2.65357     0.00000      68
   358        3056    -0.03311    -2.37940     0.00000      72
   359        3055    -0.04184    -2.20848     0.00000      58
   360        3054    -0.02953    -2.51667     0.00000      59
   361        3053    -0.03288    -1.85316     0.00000      33
   362        3052    -0.05146    -2.65340     0.00000      59
   363        3051    -0.06342    -2.04710     0.00000      57
   364        3050    -0.03232    -1.81049     0.00000      74
   365        3049    -0.04888    -2.72502     0.00000      55
   366        3048    -0.05543    -2.00480     0.00000      68
   367        3047    -0.06033    -2.72878     0.00000      59
   368        3046    -0.03792    -2.72879     0.00000      66
   369        3045    -0.05357    -2.37943     0.00000      53
   370        3044    -0.06460    -2.72879     0.00000      60
   371        3043    -0.03762    -2.51870     0.00000      57
   372        3042    -0.03726    -1.94275     0.00000      53
   373        3041    -0.04901    -1.94272     0.00000      61
   374        3040    -0.02936    -1.64915     0.00000      51
   375        3039    -0.03665    -2.52100     0.00000      63
   376        3038    -0.05124    -2.63398     0.00000      53
   377        3037    -0.03684    -2.72879     0.00000      65
   378        3036    -0.03633    -2.00366     0.00000      57
   379        3035    -0.04066    -2.05200     0.00000      71
   380        3034    -0.03619    -1.84822     0.00000      67
   381        3033    -0.03422    -2.38325     0.00000      73
   382        3032    -0.02806    -1.64915     0.00000      72
   383        3031    -0.05744    -2.52479     0.00000      69
   384        3030    -0.06296    -2.33608     0.00000      62
   385        3029    -0.04682    -2.05200     0.00000      62
   386        3028    -0.06684    -2.37714     0.00000      57
   387        3027    -0.05493    -2.65838     0.00000      63
   388        3026    -0.04130    -2.38333     0.00000      83
   389        3025    -0.05142    -2.65838     0.00000      60
   390        3024    -0.02135    -1.74257     0.00000      61
   391        3023    -0.04069    -2.65838     0.00000      47
   392        3022    -0.05988    -2.65866     0.00000      56
   393        3021    -0.03582    -1.99557     0.00000      59
   394        3020    -0.05615    -2.37575     0.00000      49
   395        3019    -0.07307    -2.65866     0.00000      59
   396        3018    -0.03320    -1.99561     0.00000      69
   397        3017    -0.04333    -2.65846     0.00000      67
   398        3016    -0.03593    -2.72877     0.00000      53
   399        3015    -0.04336    -2.38333     0.00000      60
   400        3014    -0.04390    -2.37501     0.00000      74
   401        3013    -0.03804    -2.52477     0.00000      47
   402        3012    -0.03661    -2.65900     0.00000      53
   403        3011    -0.03364    -2.63407     0.00000      53
   404        3010    -0.02399    -1.92903     0.00000      58
   405        3009    -0.03991    -2.05200     0.00000      69
   406        3008    -0.05408    -2.38333     0.00000      57
   407        3007    -0.05847    -2.72878     0.00000      71
   408        3006    -0.02048    -1.35782     0.00000      63
   409        3005    -0.04668    -2.33427     0.00000      60
   410        3004    -0.03796    -2.04905     0.00000      60
   411        3003    -0.04929    -2.37506     0.00000      52
   412        3002    -0.04120    -2.21347     0.00000      64
   413        3001    -0.06333    -1.99572     0.00000      67
   414        3000    -0.04122    -1.75691     0.00000      57
   415        2999    -0.03971    -2.72845     0.00000      58
